5216 Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5217 Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5219 Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelorand Master of Technology (Dual Degree))
5220 Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))
5221 Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Tech-nology (Dual Degree))
5222 Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor andMaster of Technology (Dual Degree))
5223 Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master ofTechnology (Dual Degree))
5224 Electronics and Communication Engineering and M.Tech. Bio-Medical Engineering (5 Years,Bachelor and Master of Technology (Dual Degree))
5225 Electronics and Electrical Communication Engineering with M.Tech. in any of the listed special-izations (5 Years, Bachelor and Master of Technology (Dual Degree))
5226 Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Masterof Technology (Dual Degree))
5227 Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))
5229 Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))
5232 Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))
5233 Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5234 Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (DualDegree))
5235 Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelorand Master of Technology (Dual Degree))
5239 Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor andMaster of Technology (Dual Degree))
5240 Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5241 Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering andManagement (5 Years, Bachelor and Master of Technology (Dual Degree))
5242 Metallurgy and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual De-gree))
5243 Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (DualDegree))
5244 Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5Years, Bachelor and Master of Technology (Dual Degree))
5245 Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5246 Mineral Engineering with M.Tech in Mineral Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5247 Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5248 Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5249 Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (DualDegree))
5251 Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))
5252 Mechanical Engineering (D and M) and M.Tech (Product Design) (5 Years, Bachelor and Masterof Technology (Dual Degree))
5253 Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology(Dual Degree))
5254 Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))
5255 Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))
5256 Computer Science and Engineering and M.Tech Computer Science (5 Years, Bachelor and Masterof Technology (Dual Degree))
5257 Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5258 Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology(Dual Degree))
5259 Civil Engineering and M.Tech in Water Resources (5 Years, Bachelor and Master of Technology(Dual Degree))
5260 Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5261 Computer Science and Engineering and M.Tech in Information Security (5 Years, Bachelor and Master of Technology (Dual Degree))
5262 Electronics and Communication Engineering and M.Tech Communication and Network (5 Years,Bachelor and Master of Technology (Dual Degree))
5263 Electronics and Instrumentation Engineering and M.Tech VLSI Design and Embedded (5 Years,Bachelor and Master of Technology (Dual Degree))
5264 Electrical Engineering and M.Tech Control and Automation (5 Years, Bachelor and Master of Technology (Dual Degree))
5265 Electrical Engineering and M.Tech Electronic Systems and Communications (5 Years, Bachelor and Master of Technology (Dual Degree))
5266 Mechanical Engineering and M.Tech Mechatronics and Automation (5 Years, Bachelor and Masterof Technology (Dual Degree))
5267 Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))
5268 Mechanical Engineering (D and M) and M.Tech (Advanced Manufacturing) (5 Years, Bachelor and Master of Technology (Dual Degree))
5269 Electronics Engineering (D and M) and M.Tech VLSI and Electronics System Design (5 Years,Bachelor and Master of Technology (Dual Degree))
5270 Electronics Engineering (D and M) and M.Tech Signal Processing and Communication System Design (5 Years, Bachelor and Master of Technology (Dual Degree))
5271 Computer Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5272 Infromation Technology and M.Tech (Information Technology) Spl. Wireless CommunicationEngineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5273 Infromation Technology and M.Tech (Information Technology) Spl. Software Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5274 Infromation Technology and M.Tech (Information Technology) Spl. Robotics (5 Years, Bachelor and Master of Technology (Dual Degree))
5275 Infromation Technology and M.Tech (Information Technology) Spl. (Intellegent System) (5 Years,Bachelor and Master of Technology (Dual Degree))
5276 Infromation Technology and M.Tech (Information Technology) Spl. (Human Computer Interaction) (5 Years, Bachelor and Master of Technology (Dual Degree))
5277 Infromation Technology and M.Tech (Information Technology) Spl. (Cyber Law and Information SecurInformation Technologyy) (5 Years, Bachelor and Master of Technology (Dual Degree))
5278 Infromation Technology and M.Tech (Information Technology) Spl. Bio-Informatics (5 Years,Bachelor and Master of Technology (Dual Degree))
5279 Electronics and Communication Engineering and M.Tech (ECE) Spl. (Micro Electronics) (5 Years,Bachelor and Master of Technology (Dual Degree))
5280 Information Technology (5 Years, Bachelor and Master of Technology (Dual Degree))
5281 Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering andManagement (5 Years, Bachelor and Master of Technology (Dual Degree))
5301 Engineering Physics (5 Years, Integrated Master of Technology)
5302 Geological Technology (5 Years, Integrated Master of Technology)
5303 Geophysical Technology (5 Years, Integrated Master of Technology)
5304 Industrial Chemistry (5 Years, Integrated Master of Technology)
5305 Mathematics and Computing (5 Years, Integrated Master of Technology)
5306 Applied Geology (5 Years, Integrated Master of Technology)
5307 Applied Geophysics (5 Years, Integrated Master of Technology)
5402 Electronics and Communication Engineering and MBA (Information Technology) (5 Years, Bachelor of Technology and MBA (Dual Degree))
5403 Infromation Technology and MBA (Information Technology) (5 Years, Bachelor of Technology and MBA (Dual Degree))
5501 Applied Geology (5 Years, Integrated Master of Science)
5502 Applied Mathematics (5 Years, Integrated Master of Science)
5503 Chemistry (5 Years, Integrated Master of Science)
5504 Economics (5 Years, Integrated Master of Science)
5505 Exploration Geophysics (5 Years, Integrated Master of Science)
5506 Mathematics and Computing (5 Years, Integrated Master of Science)
5507 Physics (5 Years, Integrated Master of Science)
5508 Mathematics (5 Years, Integrated Master of Science)
5509 Life Science (5 Years, Integrated Master of Science)
5601 Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))
5602 Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))
5603 Material Science (5 Years, Bachelor of Science and Master of Science (Dual Degree))
5604 Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))
5605 Mathematics (5 Years, Bachelor of Science and Master of Science (Dual Degree))
5801 Pharmaceutics (5 Years, Bachelor and Master of Pharmaceutics(Dual Degree))
5901 B.Tech (Information Technology) and MBA M.Tech (Information Technology) (5 Years, Integrated B. Tech. and M. Tech. MBA)
