4102 Agricultural and Food Engineering (4 Years, Bachelor of Technology)
4103 Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)
4104 Bio Technology (4 Years, Bachelor of Technology)
4105 Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)
4106 Ceramic Engineering (4 Years, Bachelor of Technology)
4107 Chemical Engineering (4 Years, Bachelor of Technology)
4108 Chemical Science and Technology (4 Years, Bachelor of Technology)
4109 Civil Engineering (4 Years, Bachelor of Technology)
4110 Computer Science and Engineering (4 Years, Bachelor of Technology)
4111 Electrical Engineering (4 Years, Bachelor of Technology)
4112 Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)
4113 Electronics Engineering (4 Years, Bachelor of Technology)
4114 Electronics and Communication Engineering (4 Years, Bachelor of Technology)
4115 Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)
4116 Electronics and Electrical Engineering (4 Years, Bachelor of Technology)
4117 Engineering Physics (4 Years, Bachelor of Technology)
4118 Engineering Science (4 Years, Bachelor of Technology)
4119 Environmental Engineering (4 Years, Bachelor of Technology)
4121 Instrumentation Engineering (4 Years, Bachelor of Technology)
4122 Manufacturing Science and Engineering (4 Years, Bachelor of Technology)
4123 Materials Science and Engineering (4 Years, Bachelor of Technology)
4124 Mathematics and Computing (4 Years, Bachelor of Technology)
4125 Mechanical Engineering (4 Years, Bachelor of Technology)
4126 Metallurgical Engineering (4 Years, Bachelor of Technology)
4127 Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
4128 Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)
4129 Mineral Engineering (4 Years, Bachelor of Technology)
4130 Mining Engineering (4 Years, Bachelor of Technology)
4131 Mining Machinery Engineering (4 Years, Bachelor of Technology)
4132 Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)
4133 Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)
4134 Petroleum Engineering (4 Years, Bachelor of Technology)
4135 Polymer Science and Engineering (4 Years, Bachelor of Technology)
4136 Production and Industrial Engineering (4 Years, Bachelor of Technology)
4137 Electronics System Engineering (4 Years, Bachelor of Technology)
4139 Textile Technology (4 Years, Bachelor of Technology)
4142 Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)
4143 Bio Engineering (4 Years, Bachelor of Technology)
4144 Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
4145 Production Engineering (4 Years, Bachelor of Technology)
4146 Information Technology (4 Years, Bachelor of Technology)
4148 Instrumentation and Control Engineering (4 Years, Bachelor of Technology)
4149 Industrial and Production Engineering (4 Years, Bachelor of Technology)
4151 Computer Engineering (4 Years, Bachelor of Technology)
4152 Bio Medical Engineering (4 Years, Bachelor of Technology)
4153 Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)
4154 Food Processing Engineering (4 Years, Bachelor of Technology)
4155 Industrial Design (4 Years, Bachelor of Technology)
4156 Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)
4157 Electronics Engineering - Design and Manufacturing (4 Years, Bachelor of Technology)
4158 Mechanical Engineering- Design and Manufacturing (4 Years, Bachelor of Technology)
4159 Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)
4160 Carpet and Textile Technology (4 Years, Bachelor of Technology)
4161 Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)
4162 Manufacturing Engineering (4 Years, Bachelor of Technology)
4164 Food Technology (4 Years, Bachelor of Technology)
4165 Mechanical Engineering (Manuacturing Engineering) (4 Years, Bachelor of Technology)
4166 Mechanical Engineering (Welding Technology) (4 Years, Bachelor of Technology)
4167 Food Engineering and Technology (4 Years, Bachelor of Technology)
4168 Agricultural Engineering (4 Years, Bachelor of Technology)
4169 Food Process Engineering (4 Years, Bachelor of Technology)
4170 Industrial and Systems Engineering (4 Years, Bachelor of Technology)
4201 Chemistry (4 Years, Bachelor of Science)
4202 Economics (4 Years, Bachelor of Science)
4203 Mathematics and Scientic Computing (4 Years, Bachelor of Science)
4204 Physics (4 Years, Bachelor of Science)
4301 Pharmaceutics (4 Years, Bachelor of Pharmaceutics)
4401 Design (4 Years, Bachelor of Design)
4501 Planning (4 Years, Bachelor of Planning)
5101 Architecture (5 Years, Bachelor of Architecture)
5102 Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)
5201 Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5203 Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years,Bachelor and Master of Technology (Dual Degree))
5204 Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years,Bachelor and Master of Technology (Dual Degree))
5205 Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (DualDegree))
5206 Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technol-ogy (Dual Degree))
5207 Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5208 Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (DualDegree))
5209 Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5210 Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5211 Electronics and Telecommunication Engineering (5 Years, Bachelor and Master of Technology(Dual Degree))
5213 Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
5214 Civil Engineering with M.Tech. in Structural Engineering (5 Years, Bachelor and Master ofTechnology (Dual Degree))
5215 Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology(Dual Degree))
